source,locality_code,locality_name,year,metric,count,period_label,period_start_month,period_end_month,is_partial_year
incidente_reportado_123,01,Usaquén,2019,narcoticos,2380,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2020,narcoticos,1948,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2021,narcoticos,2005,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2022,narcoticos,1427,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2023,narcoticos,1475,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2024,narcoticos,1358,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2025,narcoticos,1638,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2026,narcoticos,1653,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2018,porte_ilegal_armas,598,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2019,porte_ilegal_armas,557,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2020,porte_ilegal_armas,64,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2021,porte_ilegal_armas,155,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2022,porte_ilegal_armas,123,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2023,porte_ilegal_armas,138,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2024,porte_ilegal_armas,106,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2025,porte_ilegal_armas,121,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2026,porte_ilegal_armas,136,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2018,rinas,12096,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2019,rinas,10554,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2020,rinas,7848,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2021,rinas,8421,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2022,rinas,8164,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2023,rinas,8835,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2024,rinas,7540,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,01,Usaquén,2025,rinas,9014,Ene-May (2025vs2026),1,5,True
