year,locality_code,locality_name,population
2014,04,San Cristóbal,383077
2014,05,Usme,351251
2014,06,Tunjuelito,170862
2014,07,Bosa,664774
2014,08,Kennedy,999168
2014,09,Fontibón,354097
2014,10,Engativá,783973
2014,11,Suba,1112165
2014,12,Barrios Unidos,141514
2014,13,Teusaquillo,142033
2014,14,Los Mártires,74782
2014,15,Antonio Nariño,82348
2014,16,Puente Aranda,241132
2014,17,La Candelaria,17494
2014,18,Rafael Uribe Uribe,361478
2014,19,Ciudad Bolívar,600273
2014,20,Sumapaz,3298
2015,01,Usaquén,520480
2015,02,Chapinero,151996
2015,03,Santa Fe,102155
2015,04,San Cristóbal,382247
2015,05,Usme,353558
2015,06,Tunjuelito,170388
2015,07,Bosa,671404
2015,08,Kennedy,1001537
2015,09,Fontibón,356388
2015,10,Engativá,783433
2015,11,Suba,1120332
2015,12,Barrios Unidos,138250
2015,13,Teusaquillo,142245
2015,14,Los Mártires,73987
2015,15,Antonio Nariño,81014
2015,16,Puente Aranda,240697
2015,17,La Candelaria,17290
2015,18,Rafael Uribe Uribe,360924
2015,19,Ciudad Bolívar,601716
2015,20,Sumapaz,3224
2016,01,Usaquén,524563
2016,02,Chapinero,153204
2016,03,Santa Fe,102485
2016,04,San Cristóbal,382102
2016,05,Usme,356045
2016,06,Tunjuelito,170248
2016,07,Bosa,677908
2016,08,Kennedy,1004979
2016,09,Fontibón,358804
2016,10,Engativá,784129
2016,11,Suba,1128753
2016,12,Barrios Unidos,135739
2016,13,Teusaquillo,142633
2016,14,Los Mártires,73440
2016,15,Antonio Nariño,80014
2016,16,Puente Aranda,240673
2016,17,La Candelaria,17141
2016,18,Rafael Uribe Uribe,361010
2016,19,Ciudad Bolívar,603882
2016,20,Sumapaz,3166
2017,01,Usaquén,528924
2017,02,Chapinero,154506
2017,03,Santa Fe,102984
2017,04,San Cristóbal,382696
2017,05,Usme,358813
2017,06,Tunjuelito,170440
2017,07,Bosa,684570
2017,08,Kennedy,1009665
2017,09,Fontibón,361474
2017,10,Engativá,786139
2017,11,Suba,1137868
2017,12,Barrios Unidos,133890
2017,13,Teusaquillo,143211
2017,14,Los Mártires,73112
2017,15,Antonio Nariño,79336
2017,16,Puente Aranda,241114
2017,17,La Candelaria,17049
2017,18,Rafael Uribe Uribe,361722
2017,19,Ciudad Bolívar,606799
2017,20,Sumapaz,3137
2018,01,Usaquén,534118
2018,02,Chapinero,156010
2018,03,Santa Fe,103640
2018,04,San Cristóbal,384392
2018,05,Usme,362295
2018,06,Tunjuelito,171130
2018,07,Bosa,692418
2018,08,Kennedy,1016834
2018,09,Fontibón,364832
2018,10,Engativá,790205
2018,11,Suba,1149099
2018,12,Barrios Unidos,132784
2018,13,Teusaquillo,144122
2018,14,Los Mártires,73076
2018,15,Antonio Nariño,79011
2018,16,Puente Aranda,242184
2018,17,La Candelaria,17018
2018,18,Rafael Uribe Uribe,363471
2018,19,Ciudad Bolívar,611245
