source,locality_code,locality_name,year,metric,count,period_label,period_start_month,period_end_month,is_partial_year
incidente_reportado_123,99,Sin Localización,2019,narcoticos,98,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2020,narcoticos,1248,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2021,narcoticos,52,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2022,narcoticos,183,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2023,narcoticos,48,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2024,narcoticos,43,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2025,narcoticos,55,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2026,narcoticos,38,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2018,porte_ilegal_armas,16,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2019,porte_ilegal_armas,21,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2020,porte_ilegal_armas,70,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2021,porte_ilegal_armas,3,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2022,porte_ilegal_armas,36,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2023,porte_ilegal_armas,12,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2024,porte_ilegal_armas,8,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2025,porte_ilegal_armas,5,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2026,porte_ilegal_armas,11,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2018,rinas,306,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2019,rinas,450,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2020,rinas,7174,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2021,rinas,324,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2022,rinas,3413,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2023,rinas,1310,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2024,rinas,893,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2025,rinas,1254,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2026,rinas,1022,Ene-May (2025vs2026),1,5,True
