year,registered_person_thefts,reported_123_theft_incidents,population_sum_localities,unlocated_thefts,unlocated_incidents,population_bogota,thefts_all,incidents_all,theft_rate_per_100k_all,incident_rate_per_100k_all,incidents_per_theft_all,temporal_comparability
2018,103576,62988,7391056,0,88,7391056,103576,63076,1401.369439,853.409851,0.608983,historical_reference_period_not_verified
2019,129568,61575,7533202,4,163,7533202,129572,61738,1720.012287,819.545261,0.476476,historical_reference_period_not_verified
2020,83304,39860,7717564,4,1845,7717564,83308,41705,1079.459788,540.390724,0.500612,historical_reference_period_not_verified
2021,91749,54643,7804920,6,119,7804920,91755,54762,1175.604619,701.634354,0.596829,historical_reference_period_not_verified
2022,110625,55610,7849206,0,958,7849206,110625,56568,1409.378222,720.684360,0.511349,historical_reference_period_not_verified
2023,66398,60840,7883928,8,278,7883928,66406,61118,842.295871,775.222706,0.920369,historical_reference_period_not_verified
2024,56140,49287,7918660,112,207,7918660,56252,49494,710.372715,625.029992,0.879862,historical_reference_period_not_verified
2025,51043,57725,7942867,3153,254,7942867,54196,57979,682.322894,729.950533,1.069802,comparable_ene_may_2025_2026
2026,46906,57975,7945996,1577,218,7945996,48483,58193,610.156361,732.356271,1.200276,comparable_ene_may_2025_2026
