year,registered_person_thefts,reported_123_theft_incidents,population,mapped_thefts,mapped_incidents,unlocated_thefts,unlocated_incidents,theft_mapped_coverage_pct,incident_mapped_coverage_pct,theft_rate_per_100k,incident_rate_per_100k,incidents_per_registered_theft,theft_yoy_pct,incident_yoy_pct,divergence_yoy_pp
2018,105943,151381,7391056,105943,151154,0,227,100.000000,99.850047,1433.394633,2048.164701,1.428891,,,
2019,127828,147993,7533202,127787,147132,41,861,99.967926,99.418216,1696.861441,1964.543099,1.157751,20.657335,-2.238062,-22.895396
2020,83131,116302,7717564,83124,111594,7,4708,99.991580,95.951918,1077.166318,1506.978109,1.399021,-34.966518,-21.413851,13.552667
2021,108785,143162,7804920,108740,141738,45,1424,99.958634,99.005323,1393.800321,1834.253266,1.316009,30.859727,23.095046,-7.764682
2022,137132,139812,7849206,137118,138388,14,1424,99.989791,98.981489,1747.081170,1781.224751,1.019543,26.057820,-2.340006,-28.397827
2023,158747,145871,7883928,157604,145032,1143,839,99.279986,99.424834,2013.552128,1850.232524,0.918890,15.762185,4.333677,-11.428509
2024,130504,134964,7918660,129779,134431,725,533,99.444461,99.605080,1648.056616,1704.379276,1.034175,-17.791202,-7.477154,10.314048
2025,123800,139082,7942867,101894,138440,21906,642,82.305331,99.538402,1558.631159,1751.030201,1.123441,-5.137007,3.051184,8.188191
