locality_code,locality_name,year,registered_person_thefts,incident_locality_name,reported_123_theft_incidents,population,period_label,coverage,theft_rate_per_100k,incident_rate_per_100k,incidents_per_registered_theft,count_rank,rate_rank,theft_yoy_pct,incident_yoy_pct,divergence_yoy_pp
11,Suba,2025,10775,Suba,15081,1251652,Enero-Diciembre,full_year,860.862284,1204.887621,1.3996287703016241,1,14,-16.056404,2.808644,18.865048
10,Engativá,2025,10209,Engativá,16019,831165,Enero-Diciembre,full_year,1228.275974,1927.294821,1.5691056910569106,2,11,-17.289152,6.565993,23.855144
08,Kennedy,2025,9354,Kennedy,15677,1103801,Enero-Diciembre,full_year,847.435362,1420.274125,1.6759675005345307,3,15,-21.795836,-1.464488,20.331349
02,Chapinero,2025,8041,Chapinero,6627,161162,Enero-Diciembre,full_year,4989.389558,4112.011516,0.8241512249720184,4,3,-26.746834,10.137942,36.884777
13,Teusaquillo,2025,7452,Teusaquillo,6795,155083,Enero-Diciembre,full_year,4805.168845,4381.524732,0.9118357487922706,5,5,-1.232604,17.034103,18.266707
01,Usaquén,2025,6847,Usaquén,8316,586286,Enero-Diciembre,full_year,1167.860055,1418.420361,1.2145465167226523,6,12,-20.761486,2.350769,23.112255
09,Fontibón,2025,6598,Fontibón,7146,385455,Enero-Diciembre,full_year,1711.743264,1853.912908,1.083055471354956,7,9,-19.389126,3.685432,23.074559
16,Puente Aranda,2025,5701,Puente Aranda,7601,249519,Enero-Diciembre,full_year,2284.795947,3046.261006,1.3332748640589371,8,8,1.549697,-7.146347,-8.696045
03,Santa Fe,2025,5466,Santa Fe,4712,113315,Enero-Diciembre,full_year,4823.721484,4158.319728,0.8620563483351629,9,4,-42.782372,3.742845,46.525217
07,Bosa,2025,4848,Bosa,7636,768002,Enero-Diciembre,full_year,631.248356,994.268244,1.575082508250825,10,17,-9.315376,2.099211,11.414587
14,Los Mártires,2025,4570,Los Mártires,5790,75471,Enero-Diciembre,full_year,6055.306012,7671.820964,1.2669584245076586,11,2,-60.257414,13.373801,73.631214
19,Ciudad Bolívar,2025,4243,Ciudad Bolívar,7187,685039,Enero-Diciembre,full_year,619.380794,1049.137348,1.6938486919632336,12,18,-11.029566,-1.964261,9.065305
12,Barrios Unidos,2025,4006,Barrios Unidos,6113,135332,Enero-Diciembre,full_year,2960.127686,4517.039577,1.5259610584123815,13,6,-22.077417,13.963460,36.040877
18,Rafael Uribe Uribe,2025,3300,Rafael Uribe Uribe,6380,375043,Enero-Diciembre,full_year,879.899105,1701.138269,1.9333333333333333,14,13,-1.610018,-3.274712,-1.664694
04,San Cristóbal,2025,2765,San Cristóbal,5728,394686,Enero-Diciembre,full_year,700.556898,1451.280258,2.071609403254973,15,16,-14.555006,-2.799932,11.755074
06,Tunjuelito,2025,2215,Tunjuelito,3179,175399,Enero-Diciembre,full_year,1262.835022,1812.439067,1.435214446952596,16,10,-5.904843,0.157530,6.062373
05,Usme,2025,2139,Usme,4122,399153,Enero-Diciembre,full_year,535.884736,1032.686714,1.9270687237026647,17,19,-10.239194,-3.893682,6.345513
15,Antonio Nariño,2025,1987,Antonio Nariño,3590,77392,Enero-Diciembre,full_year,2567.448832,4638.722349,1.8067438349270257,18,7,-11.452763,9.551419,21.004182
17,La Candelaria,2025,1378,La Candelaria,733,16574,Enero-Diciembre,full_year,8314.227103,4422.589598,0.5319303338171263,19,1,-23.359288,-0.811908,22.547380
20,Sumapaz,2025,0,Sumapaz,8,3338,Enero-Diciembre,full_year,0.000000,239.664470,,20,20,,166.666667,
