source,locality_code,locality_name,year,metric,count,period_label,period_start_month,period_end_month,coverage
incidente_reportado_anual,99,Sin Localización,2023,maltrato,1761,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2023,disparos,74,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2023,porte_ilegal_armas,39,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2023,hurto,839,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2023,habitantes_calle,34,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2024,rinas,2411,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2024,narcoticos,105,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2024,alteracion_orden_publico,341,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2024,maltrato_mujer,1866,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2024,maltrato,2048,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2024,disparos,41,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2024,porte_ilegal_armas,17,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2024,hurto,533,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2024,habitantes_calle,18,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2025,rinas,2920,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2025,narcoticos,117,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2025,alteracion_orden_publico,449,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2025,maltrato_mujer,2206,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2025,maltrato,2394,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2025,disparos,40,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2025,porte_ilegal_armas,18,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2025,hurto,642,Ene-Dic (2024vs2025),1,12,full_year
incidente_reportado_anual,99,Sin Localización,2025,habitantes_calle,32,Ene-Dic (2024vs2025),1,12,full_year
